item_id,version_no,sort_order,category_key,validity_start,validity_end
W45000458,1,,Geog/BuiltUp,01/01/1990,
W45000356,1,,Geog/BuiltUp,01/01/1990,
W45000307,1,,Geog/BuiltUp,01/01/1990,
W45000257,1,,Geog/BuiltUp,01/01/1990,
W45000211,1,,Geog/BuiltUp,01/01/1990,
W45000408,1,,Geog/BuiltUp,01/01/1990,
W45000158,1,,Geog/BuiltUp,01/01/1990,
W45000159,1,,Geog/BuiltUp,01/01/1990,
W45000160,1,,Geog/BuiltUp,01/01/1990,
W45000161,1,,Geog/BuiltUp,01/01/1990,
W45000162,1,,Geog/BuiltUp,01/01/1990,
W45000163,1,,Geog/BuiltUp,01/01/1990,
W45000164,1,,Geog/BuiltUp,01/01/1990,
W45000165,1,,Geog/BuiltUp,01/01/1990,
W45000166,1,,Geog/BuiltUp,01/01/1990,
W45000167,1,,Geog/BuiltUp,01/01/1990,
W45000168,1,,Geog/BuiltUp,01/01/1990,
W45000169,1,,Geog/BuiltUp,01/01/1990,
W45000170,1,,Geog/BuiltUp,01/01/1990,
W45000171,1,,Geog/BuiltUp,01/01/1990,
W45000172,1,,Geog/BuiltUp,01/01/1990,
W45000173,1,,Geog/BuiltUp,01/01/1990,
W45000174,1,,Geog/BuiltUp,01/01/1990,
W45000175,1,,Geog/BuiltUp,01/01/1990,
W45000176,1,,Geog/BuiltUp,01/01/1990,
W45000177,1,,Geog/BuiltUp,01/01/1990,
W45000178,1,,Geog/BuiltUp,01/01/1990,
W45000179,1,,Geog/BuiltUp,01/01/1990,
W45000180,1,,Geog/BuiltUp,01/01/1990,
W45000181,1,,Geog/BuiltUp,01/01/1990,
W45000182,1,,Geog/BuiltUp,01/01/1990,
W45000183,1,,Geog/BuiltUp,01/01/1990,
W45000184,1,,Geog/BuiltUp,01/01/1990,
W45000185,1,,Geog/BuiltUp,01/01/1990,
W45000186,1,,Geog/BuiltUp,01/01/1990,
W45000187,1,,Geog/BuiltUp,01/01/1990,
W45000188,1,,Geog/BuiltUp,01/01/1990,
W45000189,1,,Geog/BuiltUp,01/01/1990,
W45000190,1,,Geog/BuiltUp,01/01/1990,
W45000191,1,,Geog/BuiltUp,01/01/1990,
W45000192,1,,Geog/BuiltUp,01/01/1990,
W45000193,1,,Geog/BuiltUp,01/01/1990,
W45000194,1,,Geog/BuiltUp,01/01/1990,
W45000195,1,,Geog/BuiltUp,01/01/1990,
W45000196,1,,Geog/BuiltUp,01/01/1990,
W45000197,1,,Geog/BuiltUp,01/01/1990,
W45000198,1,,Geog/BuiltUp,01/01/1990,
W45000199,1,,Geog/BuiltUp,01/01/1990,
W45000258,1,,Geog/BuiltUp,01/01/1990,
W45000357,1,,Geog/BuiltUp,01/01/1990,
W45000259,1,,Geog/BuiltUp,01/01/1990,
W45000260,1,,Geog/BuiltUp,01/01/1990,
W45000358,1,,Geog/BuiltUp,01/01/1990,
W45000261,1,,Geog/BuiltUp,01/01/1990,
W45000212,1,,Geog/BuiltUp,01/01/1990,
W45000359,1,,Geog/BuiltUp,01/01/1990,
W45000409,1,,Geog/BuiltUp,01/01/1990,
W45000308,1,,Geog/BuiltUp,01/01/1990,
W45000262,1,,Geog/BuiltUp,01/01/1990,
W45000459,1,,Geog/BuiltUp,01/01/1990,
W45000213,1,,Geog/BuiltUp,01/01/1990,
W45000360,1,,Geog/BuiltUp,01/01/1990,
W45000410,1,,Geog/BuiltUp,01/01/1990,
W45000309,1,,Geog/BuiltUp,01/01/1990,
W45000263,1,,Geog/BuiltUp,01/01/1990,
W45000460,1,,Geog/BuiltUp,01/01/1990,
W45000214,1,,Geog/BuiltUp,01/01/1990,
W45000361,1,,Geog/BuiltUp,01/01/1990,
W45000411,1,,Geog/BuiltUp,01/01/1990,
W45000310,1,,Geog/BuiltUp,01/01/1990,
W45000264,1,,Geog/BuiltUp,01/01/1990,
W45000461,1,,Geog/BuiltUp,01/01/1990,
W45000215,1,,Geog/BuiltUp,01/01/1990,
W45000362,1,,Geog/BuiltUp,01/01/1990,
W45000412,1,,Geog/BuiltUp,01/01/1990,
W45000311,1,,Geog/BuiltUp,01/01/1990,
W45000265,1,,Geog/BuiltUp,01/01/1990,
W45000462,1,,Geog/BuiltUp,01/01/1990,
W45000216,1,,Geog/BuiltUp,01/01/1990,
W45000363,1,,Geog/BuiltUp,01/01/1990,
W45000413,1,,Geog/BuiltUp,01/01/1990,
W45000312,1,,Geog/BuiltUp,01/01/1990,
W45000266,1,,Geog/BuiltUp,01/01/1990,
W45000463,1,,Geog/BuiltUp,01/01/1990,
W45000217,1,,Geog/BuiltUp,01/01/1990,
W45000364,1,,Geog/BuiltUp,01/01/1990,
W45000414,1,,Geog/BuiltUp,01/01/1990,
W45000313,1,,Geog/BuiltUp,01/01/1990,
W45000267,1,,Geog/BuiltUp,01/01/1990,
W45000464,1,,Geog/BuiltUp,01/01/1990,
W45000218,1,,Geog/BuiltUp,01/01/1990,
W45000365,1,,Geog/BuiltUp,01/01/1990,
W45000415,1,,Geog/BuiltUp,01/01/1990,
W45000314,1,,Geog/BuiltUp,01/01/1990,
W45000268,1,,Geog/BuiltUp,01/01/1990,
W45000465,1,,Geog/BuiltUp,01/01/1990,
W45000219,1,,Geog/BuiltUp,01/01/1990,
W45000366,1,,Geog/BuiltUp,01/01/1990,
W45000416,1,,Geog/BuiltUp,01/01/1990,
W45000315,1,,Geog/BuiltUp,01/01/1990,
W45000269,1,,Geog/BuiltUp,01/01/1990,
W45000466,1,,Geog/BuiltUp,01/01/1990,
W45000220,1,,Geog/BuiltUp,01/01/1990,
W45000367,1,,Geog/BuiltUp,01/01/1990,
W45000417,1,,Geog/BuiltUp,01/01/1990,
W45000316,1,,Geog/BuiltUp,01/01/1990,
W45000270,1,,Geog/BuiltUp,01/01/1990,
W45000467,1,,Geog/BuiltUp,01/01/1990,
