item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
DEC,,2,Degradd,Decile,,
QUIN,,3,Cwintel,Quintile,,
RANK,,1,Graddfa,Rank,,
item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
DEC,,2,Degradd,Decile,,
QUIN,,3,Cwintel,Quintile,,
RANK,,1,Graddfa,Rank,,
