item,hierarchy,sort_order,lang,description,notes
1,8,7,en-gb,Sunday,
2,8,1,en-gb,Monday,
3,8,2,en-gb,Tuesday,
4,8,3,en-gb,Wednesday,
5,8,4,en-gb,Thursday,
6,8,5,en-gb,Friday,
7,8,6,en-gb,Saturday,
8,,8,en-gb,Total,
1,8,7,cy-gb,Dydd Sul,
2,8,1,cy-gb,Dydd Llun,
3,8,2,cy-gb,Dydd Mawrth,
4,8,3,cy-gb,Dydd Mercher,
5,8,4,cy-gb,Dydd Iau,
6,8,5,cy-gb,Dydd Gwener,
7,8,6,cy-gb,Dydd Sadwrn,
8,,8,cy-gb,Cyfanswm,
