item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
1,5,,00:00-05:59,00:00-05:59,,
2,5,,06:00-11:59,06:00-11:59,,
3,5,,12:00-17:59,12:00-17:59,,
4,5,,18:00-23:59,18:00-23:59,,
5,,,Cyfanswm,Total,,
