item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
0,,,Ffyrdd y Sir,County Roads,,
1,,,Gorchymyn Cefnffyrdd,Trunk Roads,,
2,,,Mae'r holl ffyrdd,All roads,,
