item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
1,8,,Dydd Sul,Sunday,,
2,8,,Dydd Llun,Monday,,
3,8,,Dydd Mawrth,Tuesday,,
4,8,,Dydd Mercher,Wednesday,,
5,8,,Dydd Iau,Thursday,,
6,8,,Dydd Gwener,Friday,,
7,8,,Dydd Sadwrn,Saturday,,
8,,,Cyfanswm,Total,,
