item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
1,4,,Lladdwyd,Killed,,
2,4,,Anafwyd yn ddifrifol,Seriously injured,,
3,5,,Anafwyd yn ychydig,Slightly injured,,
4,5,,LlAD,KSI,,
5,,,Pob difrifoldeb,All severities,,
