item,hierarchy,sort_order,lang,description,notes
DEC,,2,en-gb,Decile,
QUIN,,3,en-gb,Quintile,
RANK,,1,en-gb,Rank,
DEC,,2,cy-gb,Degradd,
QUIN,,3,cy-gb,Cwintel,
RANK,,1,cy-gb,Graddfa,
